电影名称,上映日期,豆瓣评分
肖申克的救赎 The Shawshank Redemption,1994,9.7
霸王别姬,1993,9.6
阿甘正传 Forrest Gump,1994,9.5
泰坦尼克号 Titanic,1998,9.5
千与千寻 千と千尋の神隠し,2019,9.4
美丽人生 La vita è bella,2020,9.5
这个杀手不太冷 Léon,2024,9.4
星际穿越 Interstellar,2014,9.4
盗梦空间 Inception,2010,9.4
楚门的世界 The Truman Show,1998,9.4
辛德勒的名单 Schindler's List,1993,9.5
忠犬八公的故事 Hachi: A Dog's Tale,2009,9.4
海上钢琴师 La leggenda del pianista sull'oceano,2019,9.3
三傻大闹宝莱坞 3 Idiots,2011,9.2
放牛班的春天 Les choristes,2004,9.3
机器人总动员 WALL·E,2008,9.3
疯狂动物城 Zootopia,2016,9.2
无间道 無間道,2003,9.3
控方证人 Witness for the Prosecution,2024,9.6
大话西游之大圣娶亲 西遊記大結局之仙履奇緣,2014,9.2
熔炉 도가니,2011,9.3
教父 The Godfather,1972,9.3
触不可及 Intouchables,2011,9.3
寻梦环游记 Coco,2017,9.1
当幸福来敲门 The Pursuit of Happyness,2008,9.2
末代皇帝 The Last Emperor,1987,9.3
龙猫 となりのトトロ,2018,9.2
哈利·波特与魔法石 Harry Potter and the Sorcerer's Stone,2002,9.2
怦然心动 Flipped,2010,9.1
活着,1994,9.3
蝙蝠侠：黑暗骑士 The Dark Knight,2008,9.2
指环王3：王者无敌 The Lord of the Rings: The Return of the King,2004,9.3
我不是药神,2018,9.0
乱世佳人 Gone with the Wind,1939,9.3
飞屋环游记 Up,2009,9.1
素媛 소원,2013,9.3
哈尔的移动城堡 ハウルの動く城,2024,9.1
让子弹飞,2010,9.0
十二怒汉 12 Angry Men,1957,9.4
海蒂和爷爷 Heidi,2019,9.3
何以为家 كفرناحوم,2019,9.1
猫鼠游戏 Catch Me If You Can,2003,9.1
天空之城 天空の城ラピュタ,1992,9.2
摔跤吧！爸爸 Dangal,2017,9.0
鬼子来了,2000,9.3
少年派的奇幻漂流 Life of Pi,2012,9.1
钢琴家 The Pianist,2002,9.3
指环王2：双塔奇兵 The Lord of the Rings: The Two Towers,2003,9.2
大话西游之月光宝盒 西遊記第壹佰零壹回之月光寶盒,2014,9.0
死亡诗社 Dead Poets Society,1989,9.2
闻香识女人 Scent of a Woman,1992,9.1
绿皮书 Green Book,2019,8.9
大闹天宫,1961,9.4
罗马假日 Roman Holiday,1953,9.1
黑客帝国 The Matrix,2000,9.1
指环王1：护戒使者 The Lord of the Rings: The Fellowship of the Ring,2002,9.1
教父2 The Godfather: Part II,1974,9.3
天堂电影院 Nuovo Cinema Paradiso,2021,9.2
狮子王 The Lion King,1995,9.1
辩护人 변호인,2013,9.2
饮食男女 飲食男女,1994,9.2
搏击俱乐部 Fight Club,1999,9.0
本杰明·巴顿奇事 The Curious Case of Benjamin Button,2008,9.0
美丽心灵 A Beautiful Mind,2001,9.1
穿条纹睡衣的男孩 The Boy in the Striped Pajamas,2008,9.2
窃听风暴 Das Leben der Anderen,2006,9.2
情书 Love Letter,1999,8.9
"两杆大烟枪 Lock, Stock and Two Smoking Barrels",1998,9.1
音乐之声 The Sound of Music,1965,9.1
哈利·波特与死亡圣器(下) Harry Potter and the Deathly Hallows: Part 2,2011,9.0
看不见的客人 Contratiempo,2017,8.8
西西里的美丽传说 Malèna,2000,8.9
阿凡达 Avatar,2010,8.8
拯救大兵瑞恩 Saving Private Ryan,1998,9.1
功夫,2004,8.9
哈利·波特与阿兹卡班的囚徒 Harry Potter and the Prisoner of Azkaban,2004,9.0
小鞋子 بچه های آسمان,1997,9.2
飞越疯人院 One Flew Over the Cuckoo's Nest,1975,9.1
沉默的羔羊 The Silence of the Lambs,1991,8.9
布达佩斯大饭店 The Grand Budapest Hotel,2014,8.9
蝴蝶效应 The Butterfly Effect,2004,8.9
禁闭岛 Shutter Island,2010,8.9
致命魔术 The Prestige,2006,8.9
心灵捕手 Good Will Hunting,1997,9.0
超脱 Detachment,2011,9.0
低俗小说 Pulp Fiction,1994,8.9
摩登时代 Modern Times,1936,9.3
喜剧之王 喜劇之王,1999,8.8
春光乍泄 春光乍洩,1997,9.0
哈利·波特与密室 Harry Potter and the Chamber of Secrets,2003,8.9
海豚湾 The Cove,2009,9.3
致命ID Identity,2003,8.9
杀人回忆 살인의 추억,2003,8.9
美国往事 Once Upon a Time in America,1984,9.1
一一,2017,9.1
红辣椒 パプリカ,2006,9.0
加勒比海盗 Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.8
七宗罪 Se7en,1995,8.8
唐伯虎点秋香 唐伯虎點秋香,1993,8.7
狩猎 Jagten,2012,9.1
7号房的礼物 7번방의 선물,2013,8.9
蝙蝠侠：黑暗骑士崛起 The Dark Knight Rises,2012,8.9
甜蜜蜜,2015,8.9
被嫌弃的松子的一生 嫌われ松子の一生,2006,8.8
爱在黎明破晓前 Before Sunrise,1995,8.8
超能陆战队 Big Hero 6,2015,8.8
第六感 The Sixth Sense,1999,8.9
寄生虫 기생충,2019,8.8
重庆森林 重慶森林,1994,8.8
爱在日落黄昏时 Before Sunset,2004,8.9
入殓师 おくりびと,2021,8.9
幽灵公主 もののけ姫,1997,8.9
请以你的名字呼唤我 Call Me by Your Name,2017,8.8
剪刀手爱德华 Edward Scissorhands,1990,8.7
断背山 Brokeback Mountain,2005,8.8
勇敢的心 Braveheart,1995,8.9
菊次郎的夏天 菊次郎の夏,2020,8.9
借东西的小人阿莉埃蒂 借りぐらしのアリエッティ,2010,8.9
未麻的部屋 Perfect Blue,1997,9.1
哈利·波特与火焰杯 Harry Potter and the Goblet of Fire,2005,8.8
消失的爱人 Gone Girl,2014,8.7
无人知晓 誰も知らない,2004,9.1
时空恋旅人 About Time,2013,8.8
茶馆,1982,9.6
倩女幽魂,2011,8.8
完美的世界 A Perfect World,1993,9.1
阳光灿烂的日子,1995,8.8
小森林 夏秋篇 リトル・フォレスト 夏・秋,2014,9.0
天使爱美丽 Le Fabuleux destin d'Amélie Poulain,2001,8.7
驯龙高手 How to Train Your Dragon,2010,8.8
侧耳倾听 耳をすませば,1995,8.9
头脑特工队 Inside Out,2015,8.8
新世界 신세계,2013,8.9
教父3 The Godfather: Part III,1990,9.0
"怪兽电力公司 Monsters, Inc.",2001,8.8
傲慢与偏见 Pride & Prejudice,2005,8.7
一个叫欧维的男人决定去死 En man som heter Ove,2015,8.9
玩具总动员3 Toy Story 3,2010,8.9
幸福终点站 The Terminal,2005,8.8
小森林 冬春篇 リトル・フォレスト 冬・春,2015,9.0
色，戒,2007,8.7
被解救的姜戈 Django Unchained,2013,8.8
釜山行 부산행,2016,8.6
神偷奶爸 Despicable Me,2010,8.7
萤火之森 蛍火の杜へ,2011,8.8
九品芝麻官,1994,8.7
哪吒闹海,1979,9.2
告白,2010,8.8
喜宴 囍宴,1993,9.0
玛丽和马克思 Mary and Max,2009,9.0
模仿游戏 The Imitation Game,2015,8.8
头号玩家 Ready Player One,2018,8.6
花样年华 花樣年華,2000,8.8
大鱼 Big Fish,2003,8.8
七武士 七人の侍,1954,9.3
射雕英雄传之东成西就 射鵰英雄傳之東成西就,1993,8.7
惊魂记 Psycho,1960,9.0
血战钢锯岭 Hacksaw Ridge,2016,8.7
我是山姆 I Am Sam,2001,9.0
阳光姐妹淘 써니,2011,8.8
恐怖直播 더 테러 라이브,2013,8.7
你的名字。 君の名は。,2016,8.5
黑客帝国3：矩阵革命 The Matrix Revolutions,2003,8.8
"三块广告牌 Three Billboards Outside Ebbing, Missouri",2018,8.7
心迷宫,2015,8.8
电锯惊魂 Saw,2004,8.7
小丑 Joker,2019,8.7
达拉斯买家俱乐部 Dallas Buyers Club,2013,8.8
背靠背，脸对脸,1994,9.5
心灵奇旅 Soul,2020,8.7
疯狂原始人 The Croods,2013,8.7
谍影重重3 The Bourne Ultimatum,2007,8.8
绿里奇迹 The Green Mile,1999,8.9
上帝之城 Cidade de Deus,2002,9.0
爱在午夜降临前 Before Midnight,2013,8.9
海街日记 海街diary,2015,8.8
英雄本色,2017,8.6
风之谷 風の谷のナウシカ,1992,8.9
无间道2 無間道II,2003,8.8
疯狂的石头,2006,8.6
2001太空漫游 2001: A Space Odyssey,1968,8.9
纵横四海 緃横四海,1991,8.8
雨中曲 Singin' in the Rain,1952,9.1
卢旺达饭店 Hotel Rwanda,2004,8.9
记忆碎片 Memento,2000,8.7
小偷家族 万引き家族,2018,8.7
无敌破坏王 Wreck-It Ralph,2012,8.7
岁月神偷 歲月神偷,2010,8.7
冰川时代 Ice Age,2002,8.6
牯岭街少年杀人事件 牯嶺街少年殺人事件,1991,8.9
荒蛮故事 Relatos salvajes,2024,8.8
忠犬八公物语 ハチ公物語,1987,9.2
恐怖游轮 Triangle,2009,8.5
东京教父 東京ゴッドファーザーズ,2003,9.0
爆裂鼓手 Whiplash,2024,8.6
末路狂花 Thelma & Louise,1991,9.0
魔女宅急便 魔女の宅急便,1989,8.7
大佛普拉斯,2017,8.7
遗愿清单 The Bucket List,2007,8.7
贫民窟的百万富翁 Slumdog Millionaire,2009,8.6
东邪西毒 東邪西毒,1994,8.6
高山下的花环,1984,9.5
你看起来好像很好吃 おまえうまそうだな,2010,8.9
源代码 Source Code,2011,8.5
可可西里,2004,8.9
疯狂的麦克斯4：狂暴之路 Mad Max: Fury Road,2015,8.7
城市之光 City Lights,1931,9.3
海边的曼彻斯特 Manchester by the Sea,2017,8.6
波西米亚狂想曲 Bohemian Rhapsody,2019,8.6
黑天鹅 Black Swan,2010,8.6
芙蓉镇,1987,9.3
爱乐之城 La La Land,2017,8.4
真爱至上 Love Actually,2003,8.5
青蛇,1993,8.6
花束般的恋爱 花束みたいな恋をした,2022,8.6
初恋这件小事 สิ่งเล็กเล็กที่เรียกว่า...รัก,2012,8.5
雨人 Rain Man,1988,8.7
终结者2：审判日 Terminator 2: Judgment Day,1991,8.8
人工智能 A.I. Artificial Intelligence,2001,8.7
虎口脱险 La grande vadrouille,1966,8.9
无耻混蛋 Inglourious Basterds,2009,8.7
哈利·波特与死亡圣器(上) Harry Potter and the Deathly Hallows: Part 1,2010,8.6
新龙门客栈 新龍門客棧,2012,8.7
恋恋笔记本 The Notebook,2004,8.5
白日梦想家 The Secret Life of Walter Mitty,2013,8.6
崖上的波妞 崖の上のポニョ,2020,8.6
罗生门 羅生門,1950,8.8
千钧一发 Gattaca,1997,8.8
彗星来的那一夜 Coherence,2013,8.6
机器人之梦 Robot Dreams,2024,9.0
大红灯笼高高挂,1991,8.8
黑客帝国2：重装上阵 The Matrix Reloaded,2003,8.7
哈利·波特与凤凰社 Harry Potter and the Order of the Phoenix,2007,8.5
萤火虫之墓 火垂るの墓,1988,8.7
火星救援 The Martian,2015,8.5
奇迹男孩 Wonder,2018,8.6
二十二,2017,8.7
战争之王 Lord of War,2005,8.7
步履不停 歩いても 歩いても,2008,8.8
千年女优 千年女優,2001,8.8
血钻 Blood Diamond,2006,8.7
谍影重重2 The Bourne Supremacy,2004,8.7
房间 Room,2015,8.8
魂断蓝桥 Waterloo Bridge,1940,8.8
蜘蛛侠：平行宇宙 Spider-Man: Into the Spider-Verse,2018,8.6
弱点 The Blind Side,2009,8.7
谍影重重 The Bourne Identity,2002,8.6
隐藏人物 Hidden Figures,2016,8.9
朗读者 The Reader,2008,8.6
阿飞正传 阿飛正傳,2018,8.5
